"typ";"quelle_url";"bild_url";"alt_text"
"news";"https://www.deinbier-allgaeu.de/geschenkideen/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2023/11/D2X_0044-edited-scaled.jpg";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/geschenkideen/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2023/11/Geschenkset-klein-875x1024.jpg";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/geschenkideen/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2023/11/Geschenkset-klein-v.oben_-1080x675.jpg";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/geschenkideen/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2023/11/Geschenkset-maxi-1024x576.jpg";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/geschenkideen/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2023/11/Malzgelle-klein-1024x768.jpg";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/geschenkideen/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2023/11/Schnaps-klein-797x1024.jpg";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/heuer-keine-weihnachtsmaerkte/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2024/11/DSC_1449-1080x675.jpg";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/hurra-unser-festbier-ist-da/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/02/Holzkiste_Festbier-800x675.png";"Bestes Röstmalz verleiht dem Bier sein bernsteinfarbenes Aussehen und sein malzig karamelliges Aroma."
"news";"https://www.deinbier-allgaeu.de/letztes-oeffentliches-brauseminar-2025/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/01/ansatz1-1080x675.jpg";"Hier wird das Malzschrot im Maischebottich mit Wasser vermischt und alles erhitzt."
"news";"https://www.deinbier-allgaeu.de/macht-mal-auszeit/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2023/01/20230126_1656141-1080x675.jpg";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/musik-am-stockerberg/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2023/09/Screenshot_20230912_083234_Instagram-1080x675.jpg";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/neu-im-sortiment/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2024/06/20240615_122331-1080x675.jpg";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/oeffentliches-brauseminar/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/02/Brauen_auswaerts_1-1080x675.jpeg";"Dein Bier Brauseminar bei Euch Zuhause"
"news";"https://www.deinbier-allgaeu.de/regionaler-adventskalender-2025/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2025/11/A-Kalender-2025-Flyer-A4-Version-2_251107_160916-1080x675.jpg";"<ALT LEER>"
